# time mbps
29 9.536928
30 3.330904
31 7.242888
32 8.88596
33 9.779576
34 2.247736
35 3.794128
36 9.0976
37 6.7292
38 2.284976
39 8.430824
40 8.886536
41 8.362552
42 8.861216
43 8.328264
44 8.242496
45 5.466192
46 1.117392
47 9.791128
48 8.672032
49 4.197272
50 9.794824
51 9.7986
52 9.804352
53 9.802976
54 9.798688
55 9.796976
56 8.98484
57 0.623928
58 9.80444
59 9.308672


# time mbps
0 0.03624
1 5.43208
2 8.131592
3 9.796016
4 8.354584
5 0.0
6 0.0264
7 8.421504
8 8.467688
9 8.05876
10 4.515784
11 9.543696
12 9.269344
13 8.78176
14 7.27616
15 8.13448
16 6.061776
17 5.903888
18 9.79324
19 9.822832
20 3.881528
21 6.580848
22 8.296104
23 8.787528
24 6.315192
25 9.2618
26 9.7954
27 8.909224
28 5.477936
29 9.078768
30 5.981632
31 4.139888
32 9.085544
33 9.553624
34 9.78888
35 9.80968
36 8.600952
37 0.377496
38 0.825792
39 9.17332
40 9.167256
41 9.191856
42 5.942856
43 9.18976
44 7.396328
45 7.4868
46 5.455664
47 9.418328
48 5.296632
49 7.662608
50 9.802704
51 9.11092
52 9.389832
53 3.171632
54 0.10824
55 5.174624
56 9.58956
57 9.803704
58 4.818264
59 2.78608


