# time mbps
0 0.041104
1 4.23064
2 6.26904
3 0.032736
4 8.21936
5 8.670176
6 4.133872
7 0.080256
8 7.448944
9 9.791232
10 7.448288
11 6.367152
12 8.45756
13 6.65076
14 9.7872
15 9.78792
16 9.792512
17 9.788288
18 9.147544
19 9.531168
20 5.950784
21 8.917064
22 8.509584
23 9.287224
24 5.006904
25 4.194296
26 8.910832
27 7.288528
28 4.317656
29 8.763872
30 8.543528
31 7.4496
32 9.791688
33 5.647912
34 8.218432
35 9.6344
36 1.575464
37 8.783344
38 8.906112
39 3.377664
40 7.694784
41 9.80068
42 9.783304
43 9.710784
44 9.811152
45 9.769936
46 9.802288
47 9.779424
48 4.630944
49 9.786144
50 8.573344
51 9.007784
52 2.194528
53 0.125664
54 7.366176
55 9.15736
56 4.469704
57 0.695296
58 9.7692
59 8.149968
60 9.06096
61 3.93372
62 9.047192
63 8.43428
64 9.774912
65 3.334968
66 8.466928
67 3.067056
68 7.772832
69 9.774256
70 9.826728
71 7.893024
72 8.430352
73 9.7868
74 9.793536
75 9.78704
76 9.797664
77 6.788736
78 8.690864
79 6.63384
80 6.867792
81 9.793288
82 8.410112
83 4.460664
84 9.623712
85 9.762368
86 7.34
87 5.062576
88 4.911952
89 9.39892
90 3.979368
91 9.778944
92 7.789728
93 9.790232
94 3.435
95 0.21384
96 9.500552
97 9.784448
98 3.735224
99 9.806424
100 9.770104
101 9.794784
102 9.79696
103 9.778352
104 9.810272
105 9.770472


# time mbps
0 0.034224
1 3.77208
2 6.730368
3 0.111216
4 9.799568
5 6.583448
6 4.56292
7 0.07128
8 9.348216
9 2.96644
10 7.752768
11 9.467968
12 8.009344
13 4.520376
14 3.998304
15 9.788072
16 9.80544
17 8.934528
18 6.885664
19 6.945056
20 9.191008
21 5.772544
22 8.900576
23 9.77944
24 9.786704
25 9.793008
26 9.788224
27 9.795192
28 9.775456
29 8.987664
30 8.970512
31 3.58916
32 6.48236
33 8.871432
34 8.640768
35 9.35336
36 0.424208
37 9.799648
38 9.79608
39 1.153296
40 8.36824
41 9.355344
42 5.707584
43 8.015864
44 8.60064
45 2.034312
46 4.57384
47 8.3828
48 9.410528
49 8.63488
50 9.624
51 5.496576
52 9.196576
53 9.805712
54 9.76872
55 9.797536
56 2.909024
57 5.19328
58 7.73764
59 8.211072
60 9.795984
61 0.657456
62 7.673352
63 7.603344
64 9.467424
65 6.9596
66 9.79228
67 0.637192
68 9.168752
69 9.81208
70 9.781872
71 9.7892
72 3.32412
73 8.954472
74 1.700016
75 5.534984
76 7.706568
77 7.3732
78 9.790464
79 9.26108
80 9.793824
81 9.793296
82 9.80568
83 9.778624
84 9.793968
85 9.784576
86 9.787608
87 9.804952
88 6.786424
89 6.581016
90 5.238592
91 8.770568
92 8.780944
93 8.472848
94 3.780792
95 9.743888
96 7.17752
97 3.754016
98 9.792512
99 7.331312
100 7.0272
101 7.295312
102 8.677056
103 8.905344
104 8.882984
105 7.917152


# time mbps
0 0.040784
1 4.055072
2 6.440688
3 0.033792
4 6.057248
5 9.019152
6 9.790496
7 9.8044
8 9.797136
9 9.721928
10 3.286976
11 9.777104
12 9.642784
13 9.432976
14 3.637928
15 9.78808
16 7.592768
17 7.921344
18 4.885432
19 1.843216
20 8.855496
21 3.474928
22 9.790592
23 7.788704
24 6.266416
25 4.80576
26 1.649792
27 9.80032
28 9.791648
29 9.795936
30 9.795664
31 3.13916
32 8.609784
33 7.097728
34 8.51492
35 9.773728
36 9.787328
37 9.80608
38 9.783376
39 9.791392
40 3.8552
41 5.399136
42 7.322232
43 8.237936
44 9.795296
45 2.757616
46 9.802824
47 9.11164
48 9.538448
49 2.646808
50 9.490632
51 9.79016
52 8.907176
53 1.797976
54 5.123568
55 9.59556
56 5.778656
57 0.610592
58 9.6922
59 7.02844
60 7.139536
61 9.801168
62 8.28224
63 9.48944
64 9.7736
65 9.803136
66 9.782448
67 9.794664
68 8.094072
69 7.318352
70 8.346872
71 9.811896
72 7.007576
73 0.19536
74 8.200344
75 9.801368
76 8.134736
77 5.370264
78 5.062416
79 8.838336
80 7.890944
81 9.8064
82 9.773976
83 6.134704
84 7.63408
85 9.80904
86 9.786064
87 8.209552
88 8.966752
89 2.646944
90 0.167376
91 6.173456
92 8.190976
93 9.638016
94 9.799776
95 9.77288
96 9.795088
97 9.456176
98 4.899992
99 8.167816
100 8.83168
101 6.007408
102 9.770616
103 9.800856
104 6.828232
105 7.62088


# time mbps
0 0.041632
1 4.182
2 6.316096
3 0.034848
4 8.771728
5 8.303152
6 3.960672
7 0.222432
8 9.79536
9 9.813464
10 7.189248
11 4.518416
12 8.600104
13 2.05548
14 9.107008
15 9.776984
16 8.445824
17 9.788576
18 9.691712
19 9.705312
20 9.19216
21 9.613216
22 7.763848
23 6.824672
24 8.3914
25 9.789904
26 9.786272
27 9.78752
28 7.663704
29 5.302328
30 6.501224
31 4.348592
32 8.675392
33 9.78652
34 9.443208
35 3.418832
36 2.286416
37 9.271608
38 7.506984
39 3.091056
40 7.33096
41 8.805
42 7.468504
43 8.523872
44 9.319136
45 1.237552
46 9.792808
47 9.773776
48 9.794288
49 9.7936
50 9.795088
51 9.779648
52 6.648056
53 7.631432
54 6.357896
55 9.30784
56 0.107184
57 4.992128
58 7.657616
59 8.047992
60 9.534904
61 4.706088
62 9.240496
63 9.205744
64 8.354792
65 3.590448
66 8.159424
67 0.254352
68 8.528432
69 9.772144
70 9.792832
71 9.81032
72 3.258824
73 9.22084
74 4.709504
75 8.787688
76 9.79848
77 9.785344
78 9.77816
79 9.800176
80 9.792384
81 7.77004
82 1.616352
83 8.288688
84 9.276704
85 9.752856
86 9.01136
87 6.194272
88 6.206384
89 9.603144
90 3.391512
91 1.021552
92 9.717576
93 8.046688
94 9.423472
95 8.943128
96 4.941776
97 8.231936
98 8.096256
99 9.79652
100 5.120688
101 7.081984
102 9.247984
103 8.339496
104 5.1858
105 8.228304


# time mbps
0 7.632384
1 4.672728
2 0.00528
3 0.278672
4 9.196176
5 7.098504
6 4.46748
7 0.075504
8 0.20064
9 8.941328
10 6.59284
11 9.13816
12 9.806896
13 7.382152
14 3.005712
15 9.781208
16 9.7928
17 9.791848
18 8.167848
19 8.269328
20 4.355792
21 7.957744
22 2.098648
23 5.832304
24 9.787016
25 9.784224
26 9.787424
27 9.80544
28 9.794192
29 9.781888
30 9.780344
31 8.164824
32 9.791568
33 9.819888
34 5.865864
35 9.774792
36 3.858928
37 9.17356
38 9.079872
39 1.931128
40 8.141344
41 7.464792
42 8.187272
43 9.779168
44 7.202328
45 1.304984
46 5.79128
47 6.207024
48 9.336864
49 9.792176
50 9.79296
51 8.965768
52 8.455424
53 4.677736
54 6.532096
55 9.733976
56 9.784592
57 9.779184
58 9.79384
59 9.780936
60 7.338464
61 9.77344
62 9.804408
63 6.831416
64 0.401824
65 9.602648
66 2.836728
67 9.535024
68 7.881432
69 7.748616
70 7.164416
71 6.556128
72 4.065784
73 8.2216
74 9.03032
75 8.68284
76 8.02628
77 4.018952
78 6.990248
79 8.846824
80 7.906776
81 9.44004
82 8.661816
83 8.196096
84 9.78224
85 9.789664
86 9.800896
87 9.783008
88 8.433304
89 3.470408
90 8.75504
91 9.775368
92 8.492072
93 4.282048
94 4.222
95 9.573304
96 6.80564
97 3.65568
98 9.79152
99 7.516128
100 6.949464
101 9.417952
102 8.927784
103 8.888232
104 7.841528
105 9.379376


# time mbps
0 0.041168
1 4.278864
2 6.220064
3 0.03168
4 7.826528
5 8.76716
6 4.42444
7 0.080784
8 8.378896
9 9.790144
10 8.381872
11 9.782512
12 9.789376
13 9.799248
14 7.905448
15 5.323448
16 8.99152
17 9.449536
18 9.249152
19 9.78568
20 6.060392
21 7.998208
22 8.611608
23 4.488056
24 7.923048
25 2.591384
26 9.80184
27 7.512856
28 9.439568
29 8.228504
30 3.244904
31 7.804392
32 9.05144
33 8.635504
34 7.708704
35 6.72092
36 2.613248
37 9.802816
38 4.24484
39 9.773632
40 9.805248
41 9.79
42 9.3652
43 9.775808
44 6.193864
45 8.343792
46 9.384688
47 6.032712
48 8.289256
49 5.55752
50 8.240504
51 8.49008
52 4.17636
53 9.311888
54 6.322992
55 8.400544
56 2.195952
57 0.082368
58 8.87496
59 8.055808
60 9.491216
61 5.102152
62 7.873392
63 6.082656
64 7.199968
65 9.791056
66 9.805024
67 1.326688
68 9.590432
69 9.802112
70 9.779344
71 9.788752
72 9.795456
73 9.528304
74 9.806472
75 9.7888
76 5.64532
77 5.709736
78 6.377872
79 9.014648
80 7.599848
81 8.56556
82 8.704368
83 1.942736
84 6.8244
85 9.797048
86 9.79168
87 9.470632
88 8.555864
89 6.268568
90 1.822864
91 0.199584
92 3.63876
93 8.231048
94 9.80004
95 9.776336
96 9.573424
97 9.598912
98 9.784256
99 9.797296
100 9.78552
101 9.777208
102 9.787568
103 8.661864
104 8.238336
105 7.364184


# time mbps
0 0.039392
1 3.984288
2 8.299448
3 9.82024
4 9.789152
5 3.256376
6 6.282736
7 9.774992
8 9.565816
9 5.517792
10 0.170544
11 1.673488
12 8.980392
13 3.904696
14 9.78944
15 9.792088
16 9.283912
17 9.421152
18 8.818704
19 1.505344
20 0.21384
21 8.06184
22 2.560976
23 4.974032
24 9.79012
25 9.594688
26 9.330088
27 8.019432
28 8.467488
29 3.599648
30 9.80904
31 9.778848
32 9.794288
33 9.794464
34 9.774088
35 8.583136
36 9.780304
37 8.074384
38 9.790656
39 6.063888
40 6.693904
41 6.007288
42 4.459768
43 8.2916
44 5.722464
45 9.760016
46 7.18108
47 8.825144
48 8.290504
49 6.283808
50 7.655008
51 9.180432
52 8.737048
53 4.710384
54 8.996168
55 9.77976
56 2.393472
57 0.94856
58 9.572792
59 7.971776
60 9.776992
61 9.795248
62 9.79816
63 9.779616
64 8.507432
65 9.700464
66 8.013648
67 9.14328
68 6.396944
69 3.412064
70 7.4512
71 6.3548
72 4.410928
73 9.614256
74 9.791088
75 9.565344
76 8.165864
77 4.380792
78 5.144352
79 8.724056
80 8.462808
81 9.794392
82 8.797224
83 4.017336
84 9.777584
85 9.807552
86 9.09888
87 5.62072
88 7.43696
89 9.462624
90 9.808256
91 9.779088
92 9.793488
93 5.007488
94 4.092416
95 9.65848
96 8.903032
97 9.277784
98 5.231032
99 6.181744
100 3.053104
101 9.385904
102 9.797984
103 9.78128
104 9.795568
105 7.483448


