# time mbps
34 0.099264
35 0.092928
36 0.091344
37 0.08184
38 0.0264
39 2.336432
40 9.780144
41 9.81344
42 9.813936
43 9.801792
44 9.814464
45 9.803936
46 9.792912
47 9.829808
48 9.80664
49 9.813472
50 8.027792
51 9.665232
52 1.169088
53 4.489728
54 4.587
55 0.503608
56 1.274464
57 1.113808
58 0.58144


# time mbps
0 0.03696
1 0.027456
2 0.029568
3 0.028512
4 0.028544
5 0.026928
6 1.99264
7 9.78856
8 9.827664
9 9.822912
10 9.419552
11 9.83344
12 9.81872
13 9.837664
14 9.829808
15 9.851952
16 9.824032
17 9.836008
18 6.853136
19 6.360592
20 5.390464
21 0.096496
22 0.491936
23 0.51892
24 1.112224
25 0.864736
26 0.606856
27 0.077616
28 0.079232
29 0.08184
30 0.073392
31 0.085008
32 0.128392
33 0.214368
34 0.152592
35 0.102432
36 0.093984
37 0.058608
38 0.02332
39 0.00528
40 0.043296
41 0.056496
42 0.05808
43 0.050688
44 0.056496
45 0.05808
46 0.077704
47 0.06072
48 0.064416
49 0.06072
50 0.054912
51 0.059664
52 0.031768
53 0.056496
54 0.062832
55 0.06072
56 0.051744
57 0.058608
58 0.054912


