# time mbps
0 0.166336
1 0.232616
2 5.002208
3 44.031208
4 48.46668
5 7.310416
6 41.401504
7 48.79344
8 2.853456
9 46.126656
10 42.148296
11 6.750888
12 48.781928
13 29.95456
14 18.909848
15 48.736944
16 15.228864
17 33.67416
18 47.366848
19 1.479008
20 48.701184
21 38.342552
22 10.458424
23 48.683088
24 10.0092
25 38.816736
26 45.48688
27 3.32944
28 48.658872
29 28.558512
30 20.224056
31 48.655104
32 11.827328
33 36.997552
34 48.671472
35 0.1332
36 48.683688
37 38.433128
38 10.352608
39 48.64296
40 29.384008
41 19.461464
42 48.781296
43 12.37424
44 36.478096
45 48.844656
46 0.140064
47 48.930264
48 22.139064
49 26.965584
50 48.890064
51 1.187136
52 47.86116
53 37.72772
54 11.33632
55 48.906616
56 16.075024
57 32.967448
58 48.938776
59 0.196048


# time mbps
0 0.165632
1 1.31464
2 47.625512
3 0.357632
4 48.444008
5 43.972352
6 4.794472
7 48.59924
8 35.9086
9 12.893568
10 24.517784
11 20.925544
12 27.818544
13 24.612824
14 5.878728
15 18.798192
16 24.556768
17 0.193424
18 24.491384
19 24.601736
20 0.120032
21 24.595928
22 9.599336
23 15.091808
24 24.534592
25 0.123728
26 24.462344
27 23.055024
28 1.540552
29 24.500888
30 3.156296
31 21.440248
32 24.476104
33 0.13904
34 24.444392
35 24.515144
36 0.114752
37 48.705896
38 15.798624
39 8.998648
40 24.68516
41 13.909736
42 35.008064
43 48.748576
44 0.202928
45 48.636728
46 31.509664
47 17.380152
48 48.865352
49 1.017416
50 47.932504
51 38.182496
52 10.742184
53 48.829032
54 17.59912
55 31.379
56 48.828408
57 1.093328
58 47.7718
59 35.853272


# time mbps
0 24.486504
1 0.231544
2 0.242968
3 48.52048
4 13.74864
5 35.010352
6 48.498832
7 11.000832
8 14.174576
9 24.54832
10 0.440528
11 24.509864
12 24.639752
13 0.36928
14 24.65876
15 24.536792
16 0.324896
17 24.60112
18 8.5988
19 16.339536
20 24.522448
21 0.414128
22 24.596456
23 24.527288
24 0.234608
25 24.525088
26 0.65432
27 24.244856
28 24.501416
29 0.28216
30 24.575336
31 20.750336
32 4.015784
33 24.515584
34 4.056352
35 20.839216
36 24.505552
37 0.451088
38 24.554744
39 39.966912
40 8.909704
41 24.61652
42 24.5954
43 0.214016
44 24.612208
45 2.62024
46 22.2484
47 24.6196
48 0.407792
49 24.69836
50 14.909552
51 10.152248
52 24.624936
53 0.417312
54 24.739608
55 24.616584
56 0.34128
57 24.700536
58 14.169376
59 34.91276


# time mbps
0 0.52012
1 48.330528
2 0.26428
3 24.803208
4 24.024304
5 48.43612
6 34.47456
7 14.843464
8 48.825136
9 23.335832
10 25.92684
11 43.109832
12 15.6466
13 39.261096
14 48.845288
15 0.414656
16 48.814664
17 35.711504
18 13.597016
19 48.839392
20 17.472352
21 31.728544
22 48.767056
23 0.346544
24 48.729656
25 25.82592
26 23.214376
27 48.579088
28 7.011568
29 41.971208
30 48.03564
31 1.004128
32 48.64676
33 30.484432
34 18.531048
35 48.663568
36 15.145056
37 34.044224
38 48.777088
39 8.21376
40 40.97068
41 24.662456
42 0.529232
43 24.634472
44 24.6218
45 0.414128
46 24.531424
47 4.400128
48 45.106392
49 41.294256
50 8.135176
51 48.76864
52 20.193544
53 29.339592
54 48.915
55 0.640128
56 48.846984
57 24.672024
58 0.543536
59 24.707832


